School Name,Author Name,Review,Rating,Language,Relative Time
مكتبات المعايرجي,Muhamed Hamdy,"فيها كل اللي تحتاجه تقريبا بس مفيش اهتمام من الناس اللي شغالة, ممكن تقعد نص ساعة تدور على حاجة متلاقيش حد تساله",3,ar,a year ago
مكتبات المعايرجي,Mahmoud Ali,,5,en,a month ago
مكتبات المعايرجي,Fafi N,,3,en,6 months ago
مكتبات المعايرجي,Ahmed Ali,,3,en,7 months ago
Darsh Stationery,Mahmoud Shaheen,,5,en,4 months ago
Samir & Aly Stationery House,Adham Rakib,One of the best stationary shops in all of egypt with all the stationary equipment that coulf be found.,5,en,3 months ago
Samir & Aly Stationery House,Yomna Ashraf,Not all artistic supplies available. Yet basics are supplied in a wide variety.,4,en,2 weeks ago
Samir & Aly Stationery House,Walaa A. Saad,"This time visit to Samir and Ali stationary was very satisfied. with school supplies. some items where not in stock. However, it was overall satisfactory",4,en,7 months ago
Samir & Aly Stationery House,Yousra Sany,Not just a stationary. You could find everything u r looking for...for school,5,en,a month ago
Samir & Aly Stationery House,Youssef Keshk,Everything for school thet you need you will find it there,5,en,5 months ago
Umm El Nour Stationery,bassem george,,4,en,3 months ago
Umm El Nour Stationery,Amir Fouad,,5,en,6 months ago
Umm El Nour Stationery,antonyos ebrahim,,3,en,8 months ago
Umm El Nour Stationery,ezac g,,3,en,8 months ago
Umm El Nour Stationery,Awad William,,4,ar,3 months ago
Empire Stationery,emad alahmdi,,1,ar,3 months ago
Empire Stationery,المطرب ابراهيم عبدالرازق,,5,ar,3 months ago
Empire Stationery,اشرف عبد العاطى الصولى,,5,ar,a year ago
Empire Stationery,Bakr Besso,,1,ar,a year ago
Royal Stationery,ahmed hamdy,Slowest and very poor,1,en,9 months ago
Royal Stationery,Amr Eldegwi,كويس واسعاره ومتوسطه ولم يوجد اختيارات وبدائل من المنتوجات,3,ar,a year ago
Royal Stationery,Mohamed Heibah,,5,en,3 months ago
